TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
no.tellu.findit.services.AsyncServiceImpl,120,202971,15,5,0.22727272727272727,0.3333333333333333,0.25,0.2727272727272727,4,0.047058823529411764
no.tellu.findit.services.BillingLogServiceImpl,120,127373,76,25,0.514018691588785,0.07142857142857142,1.0,0.4714285714285714,12,0.0
no.tellu.findit.services.cassandra.ActivityLogItem,120,132410,287,53,1.0,1.0,0.9,1.0,0,0.6666666666666666
no.tellu.findit.services.cassandra.ActivityLogServiceImpl,120,129130,131,25,0.3059360730593607,0.4235294117647059,0.4782608695652174,0.2146118721461187,3,0.0821917808219178
no.tellu.findit.services.cassandra.DeviceHistoryServiceImpl,120,127222,21,8,0.16379310344827586,0.22,0.47058823529411764,0.07462686567164178,0,0.03731343283582089
no.tellu.findit.services.cassandra.EventHistoryServiceImpl,120,127471,52,13,0.16463414634146342,0.1728395061728395,0.47058823529411764,0.13440860215053763,0,0.043010752688172046
no.tellu.findit.services.cassandra.HistoryDatabaseServiceImpl,120,131498,97,28,0.2585812356979405,0.1617161716171617,0.4722222222222222,0.18556701030927836,2,0.15637860082304528
no.tellu.findit.services.cassandra.StatisticsCQLServiceImpl,120,127790,50,19,0.18303571428571427,0.25333333333333335,0.52,0.09809264305177112,1,0.05722070844686648
no.tellu.findit.util.ConvertToJson,120,133436,103,35,0.8109243697478992,0.8280254777070064,0.5555555555555556,0.6025641025641025,1,0.20512820512820512
no.tellu.findit.util.TrackingUtilities,120,129921,75,39,0.9912280701754386,0.9803921568627451,0.75,0.980722891566265,5,0.7397590361445783
no.tellu.findit.domain.AssetImpl,120,134902,261,71,1.0,0.9880952380952381,0.7333333333333333,0.9669421487603306,5,0.732824427480916
no.tellu.findit.domain.CustomerImpl,120,153940,869,225,1.0,1.0,0.725925925925926,0.9819277108433735,5,0.9042553191489362
