TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.ow2.proactive.catalog.callgraph.GraphNode,60,62575,64,17,1.0,1.0,0.7692307692307693,1.0,1,0.6176470588235294
org.ow2.proactive.catalog.callgraph.CatalogObjectCallGraphPDFGenerator,60,76564,1,1,0.015384615384615385,0.02702702702702703,0.0,0.0,0,0.0
org.ow2.proactive.catalog.callgraph.CallGraphHolder,60,62134,48,18,1.0,1.0,0.4375,1.0,2,0.391304347826087
org.ow2.proactive.catalog.repository.entity.CatalogObjectEntity,60,64620,135,44,0.9090909090909091,0.873015873015873,0.7241379310344828,0.9322033898305084,2,0.432
org.ow2.proactive.catalog.repository.entity.metamodel.CatalogObjectEntityMetaModelEnum,60,61714,4,3,1.0,1.0,0.375,1.0,0,1.0
org.ow2.proactive.catalog.repository.entity.metamodel.BucketEntityMetaModelEnum,60,61614,3,2,1.0,1.0,0.25,1.0,0,1.0
org.ow2.proactive.catalog.repository.entity.KeyValueLabelMetadataEntity,60,64538,127,36,1.0,0.9782608695652174,0.9166666666666666,0.995049504950495,1,0.536036036036036
org.ow2.proactive.catalog.repository.entity.BucketEntity,60,67373,72,23,0.9428571428571428,0.8148148148148148,0.8571428571428571,0.8666666666666667,2,0.42592592592592593
org.ow2.proactive.catalog.repository.entity.CatalogObjectRevisionEntity,60,69645,161,47,0.9583333333333334,0.8936170212765957,0.8888888888888888,0.9178082191780822,5,0.5584415584415584
org.ow2.proactive.catalog.report.CatalogObjectReportPDFGenerator,60,66871,4,1,0.21212121212121213,0.25,0.0,0.0,0,0.0
org.ow2.proactive.catalog.report.HeadersBuilder,60,72277,68,8,0.8541666666666666,0.6666666666666666,1.0,0.8823529411764706,3,0.014705882352941176
org.ow2.proactive.catalog.report.CellFactory,60,67592,62,18,0.9032258064516129,1.0,1.0,0.9875,9,0.2
org.ow2.proactive.catalog.util.CatalogObjectJSONParser,60,62859,34,17,1.0,1.0,0.0,1.0,1,1.0
org.ow2.proactive.catalog.util.ArchiveManagerHelper,60,63500,49,16,0.7017543859649122,0.5111111111111111,0.5555555555555556,0.40625,0,0.15625
org.ow2.proactive.catalog.util.RevisionCommitMessageBuilder,60,61547,4,2,1.0,1.0,0.3333333333333333,1.0,0,1.0
org.ow2.proactive.catalog.util.parser.ScriptParser,60,63305,10,5,1.0,1.0,0.45454545454545453,1.0,1,1.0
org.ow2.proactive.catalog.util.parser.AbstractCatalogObjectParser,60,65354,13,4,1.0,1.0,0.18181818181818182,1.0,3,0.0
org.ow2.proactive.catalog.util.parser.WorkflowParser,60,68230,13,6,0.0782608695652174,0.039603960396039604,0.2727272727272727,0.014598540145985401,3,0.014598540145985401
org.ow2.proactive.catalog.util.parser.InfrastructureParser,60,64818,14,5,1.0,1.0,0.45454545454545453,1.0,1,1.0
org.ow2.proactive.catalog.util.parser.CatalogObjectParserResult,60,62769,47,11,1.0,1.0,0.6923076923076923,1.0,1,0.8333333333333334
org.ow2.proactive.catalog.util.parser.NodeSourceParser,60,66844,12,5,1.0,1.0,0.45454545454545453,1.0,1,1.0
org.ow2.proactive.catalog.util.parser.SupportedParserKinds,60,61463,4,2,0.3333333333333333,1.0,0.18181818181818182,1.0,0,0.0
org.ow2.proactive.catalog.util.parser.PolicyParser,60,63989,13,5,1.0,1.0,0.45454545454545453,1.0,1,1.0
org.ow2.proactive.catalog.util.parser.PCWRuleParser,60,63150,11,5,1.0,1.0,0.45454545454545453,1.0,1,1.0
org.ow2.proactive.catalog.util.parser.DefaultCatalogObjectParser,60,65373,7,3,1.0,1.0,0.36363636363636365,1.0,0,1.0
