GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.StringRegexpMatchCallFactory,5,27,1,1,0,6,1,3,0,3
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,SubstringFunction.Call,10,108,0,2,2,19,0,3,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,NumericArithmeticOperators.SubtractOperator,0,15,0,0,0,4,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.new EqualTypeMatchFunction.Matcher() {...},0,7,0,0,0,2,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.new EqualTypeMatchFunction.Matcher() {...},0,11,0,0,0,2,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,LogicalOrFunction,0,22,0,0,0,3,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.new EqualTypeMatchFunction.Matcher() {...},0,11,0,0,0,2,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.new EqualTypeMatchFunction.Matcher() {...},0,11,0,0,0,2,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.new EqualTypeMatchFunction.CallFactoryBuilder() {...},0,9,0,0,0,2,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,NumericArithmeticOperators.AbsOperator,0,8,0,0,0,2,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardHigherOrderBagFunctions.AllOfCallFactory,0,16,0,2,0,6,0,4,0,3
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,LogicalNotFunction,0,17,0,0,0,3,0,2,0,2
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardHigherOrderBagFunctions.OneBagOnlyHigherOrderFunction.Call,19,108,3,5,3,23,4,4,1,3
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardHigherOrderBagFunctions.BooleanHigherOrderTwoBagFunction.Call,30,102,6,6,7,19,7,3,1,3
org.ow2.authzforce:authzforce-ce-core-pdp-engine,org.ow2.authzforce.core.pdp.impl.func,StandardEqualTypeMatchers.StringRegexpMatchCallFactory.new EqualTypeMatchFunction.Matcher() {...},4,3,0,0,1,1,1,1,1,1
